"""Municˇpio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""352880 MARACAI"";-;-;-;-;-;-;-;49;40;44;34;-;90;75;-;-;35;39;-;-;-;-;-;-;-;-;-;-;406"
"""352900 MARILIA"";-;30;482;879673;870801;881475;874798;848576;833406;721283;599253;636828;819854;765682;889576;840981;778935;751037;919350;936518;1028510;1035925;1109087;1163635;1172050;943118;1060264;1108069;22469196"
"""352930 MATAO"";-;-;-;2192;2179;2151;2302;2319;2238;2375;2455;2320;2459;2426;2464;2430;2401;2541;2642;2764;2539;2831;2753;2760;2798;2462;2533;2530;61864"
"""352940 MAUA"";-;-;324;1132;1120;1266;1072;986;1031;1054;1076;584;1305;1373;1757;1659;1407;1475;1920;1481;1130;1468;2056;2104;2650;2628;2794;1526;38378"
"""352970 MIGUELOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;8;17"
"""353010 MIRANDOPOLIS"";-;-;-;784;-;1063;944;931;719;785;719;727;812;810;760;939;792;773;825;817;830;1066;883;1090;1704;982;1050;1115;21920"
"""353050 MOCOCA"";-;-;-;142;150;116;148;166;189;157;152;196;235;172;209;160;155;155;211;159;207;92;107;128;190;142;126;138;4002"
"""353060 MOGI DAS CRUZES"";-;33;896;757798;741862;739703;757121;726983;754063;804178;749753;801195;840257;829367;755095;832886;834735;805283;830382;837645;819879;867693;875386;899967;924771;752587;689507;834337;20063362"
"""353070 MOGI GUACU"";-;-;-;1386;1164;1068;1509;1517;1508;1434;1596;1791;1805;1766;1539;1864;1832;1861;1887;1940;1552;1713;1688;1846;1809;1731;39;28;37873"
"""353080 MOGI MIRIM"";-;-;15;2631;2527;2680;2174;2322;2200;2348;2324;2242;2349;2375;2507;2568;2265;2416;2418;2513;2409;2599;2427;2564;2777;2432;2667;2426;61175"
"""353110 MONGAGUA"";-;-;-;172;198;268;225;287;220;187;280;246;281;291;270;252;250;279;244;230;483;301;289;283;548;293;273;305;6955"
"""353130 MONTE ALTO"";-;-;-;271;291;291;454;430;360;275;373;325;405;254;380;397;326;400;341;307;364;380;410;394;403;401;387;396;9015"
"""353140 MONTE APRAZIVEL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;40;41;42;45;45;43;42;45;44;45;466"
"""353150 MONTE AZUL PAULISTA"";-;-;-;1;-;-;-;-;-;81;193;44;42;89;143;21;60;60;70;116;64;492;255;265;127;361;223;520;3227"
"""353180 MONTE MOR"";-;-;-;15;186;320;42;44;36;12;4;8;2;-;2;24;188;131;170;152;40;-;-;-;-;1;-;-;1377"
"""353190 MORRO AGUDO"";-;-;-;108;80;28;25;68;294;193;345;141;145;142;83;92;133;176;214;211;185;242;208;195;304;242;166;146;4166"
"""353200 MORUNGABA"";-;-;-;-;-;-;-;-;-;9;5;-;8;3;-;-;5;1;5;3;7;3;-;6;6;5;-;4;70"
"""353270 NIPOA"";-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""353340 NOVA ODESSA"";-;-;-;182;90;235;213;6;282;249;71;181;183;-;77;216;121;69;30;-;-;227;126;137;385;200;257;45;3582"
"""353350 NOVO HORIZONTE"";-;-;-;287;279;290;235;238;230;243;182;251;250;256;282;262;257;278;354;258;299;266;270;274;244;248;273;324;6630"
"""353380 OLEO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2"
"""353390 OLIMPIA"";-;-;-;908;898;971;1004;941;907;927;978;1006;1011;1029;1185;1094;1047;1048;1049;491;1017;1183;1227;1215;1033;873;1006;945;24993"
"""353410 ORIENTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;4"
"""353430 ORLANDIA"";-;-;-;33;53;32;29;35;34;34;32;34;33;30;37;34;33;23;30;33;31;30;29;-;92;63;53;64;931"
"""353440 OSASCO"";-;15;577;2066698;2129538;2057516;2103566;2157586;2143119;2195541;2304615;2162102;2229849;2288110;2222955;2302791;2269723;2274800;2201079;2189852;2247260;2274139;2297645;2317249;2338876;2382061;2264273;2260466;55682001"
"""353460 OSVALDO CRUZ"";-;-;-;22;22;21;21;20;23;19;20;26;20;39;33;19;23;22;23;24;21;24;22;21;21;19;18;21;564"
"""353470 OURINHOS"";-;-;-;3720;3426;3188;3484;3866;3701;3724;4575;3742;4071;4209;3947;3874;3823;3756;3810;3862;4009;4113;4264;4148;4407;4121;4404;4155;98399"
"""353520 PALMEIRA D'OESTE"";-;-;-;8;30;16;75;41;73;71;74;43;83;123;73;111;216;92;120;66;52;82;86;37;12;21;19;54;1678"
"""353530 PALMITAL"";-;-;-;33;-;183;145;153;92;88;125;216;187;129;17;68;93;84;121;126;151;94;198;184;161;152;131;105;3036"
"""353550 PARAGUACU PAULISTA"";-;-;-;24;28;29;28;16;20;20;-;48;81;106;100;89;24;38;28;48;20;32;12;43;16;31;-;13;894"
"""353620 PARIQUERA-ACU"";-;-;-;3557;3495;3931;3731;3831;3644;4213;4020;3902;4075;3958;3789;4003;3597;3907;3812;3880;3713;3513;3917;4049;4279;4088;4103;4183;97190"
"""353630 PATROCINIO PAULISTA"";-;-;-;-;-;-;84;85;86;80;35;40;-;-;-;-;-;79;-;-;-;154;189;-;-;-;-;-;832"
"""353650 PAULINIA"";-;-;1;124;150;333;81;360;295;151;261;414;233;87;126;190;406;595;576;665;562;445;452;82;-;-;-;-;6589"
"""353670 PEDERNEIRAS"";-;-;-;294;255;235;249;250;251;262;279;245;242;237;229;249;252;169;194;203;198;240;203;234;132;218;147;193;5660"
"""353710 PEDREIRA"";-;-;5;5;4;12;19;23;254;188;265;371;177;362;443;508;489;471;345;392;372;469;451;200;308;272;373;368;7146"
"""353730 PENAPOLIS"";-;-;-;206;189;285;327;356;354;419;409;401;359;334;266;212;244;305;313;384;308;336;352;372;1;274;319;337;7662"
"""353760 PERUIBE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1"
"""353780 PIEDADE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;129;110;141;135;138;150;150;-;-;116;95;76;1350"
"""353800 PINDAMONHANGABA"";-;-;-;3191;2813;3041;2995;3069;2948;3075;2991;2900;3098;3037;2924;2947;2756;3056;3039;3076;2831;3124;2991;3079;3161;2928;3196;3168;75434"
"""353870 PIRACICABA"";-;1;191;1821734;1954967;1858534;1883391;1879888;1948048;1987898;1919967;2034859;2175637;2197463;1987077;2225788;2217455;2176639;2222321;2231444;2296064;2261928;2292437;2345246;2388839;2013182;2165564;2200032;52686594"
"""353880 PIRAJU"";-;-;-;12;17;6;9;-;9;-;10;10;14;10;-;9;10;6;-;15;8;14;12;10;22;16;-;-;219"
"""353900 PIRANGI"";-;-;-;-;-;-;-;288;-;154;-;-;73;36;37;34;33;420;33;223;212;399;33;408;33;299;431;56;3202"
"""353930 PIRASSUNUNGA"";-;-;-;1719;1757;1869;1871;1736;1755;1893;2005;2104;2227;2174;1780;1897;1920;1871;2474;2797;2293;2694;2739;2758;2883;2616;2476;2368;54676"
"""353940 PIRATININGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1"
"""353950 PITANGUEIRAS"";-;1;68;59;267;120;179;694;228;66;445;56;57;39;69;40;70;92;113;104;99;183;200;93;84;84;94;53;3657"
"""354000 POMPEIA"";-;-;-;39;35;70;121;85;151;119;144;126;104;108;77;93;82;197;109;126;224;213;213;183;206;113;169;134;3241"
"""354020 PONTAL"";-;-;-;21;12;12;40;4;18;20;-;13;4;-;-;2;5;1;-;7;-;-;1;2;5;3;-;3;173"
"""354060 PORTO FELIZ"";-;-;-;699;572;636;738;828;697;201;770;185;396;727;683;369;644;458;523;1018;770;890;898;853;978;956;990;1079;17558"
"""354070 PORTO FERREIRA"";-;-;-;1;-;-;-;-;-;7;-;-;11;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;35"
"""354090 PRADOPOLIS"";-;-;-;-;-;-;-;-;-;-;38;-;54;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;93"
"""354100 PRAIA GRANDE"";-;-;6;6370;6076;6820;5782;5779;5392;5519;5450;5479;5628;5377;6318;5983;5302;5891;7534;5749;7315;5426;5926;3727;7535;7130;5925;3589;147028"
"""354120 PRESIDENTE BERNARDES"";-;-;-;-;-;-;-;-;-;-;-;-;22;-;19;8;15;13;-;10;19;10;11;8;8;11;18;22;194"
"""354130 PRESIDENTE EPITACIO"";-;-;-;1111;1040;914;866;987;915;990;1054;937;1029;1036;1068;1065;929;940;989;975;1010;1094;1053;1098;1126;1023;1139;1109;25497"
"""354140 PRESIDENTE PRUDENTE"";-;-;92;1109958;1123215;1120693;1205184;1136684;1203564;1283000;1285042;1363518;1340088;1397700;1287424;1362163;1415800;1417649;1401617;1423928;1460236;1457048;1494329;1538520;1549730;1326457;1445314;1437948;33586901"
"""354150 PRESIDENTE VENCESLAU"";-;-;-;85;87;125;109;115;95;86;109;167;164;142;1;60;63;96;105;124;129;139;113;122;164;155;175;213;2943"
"""354160 PROMISSAO"";-;-;-;2114;1982;2069;2164;2095;2042;2103;2262;2142;2198;1964;1913;2227;1664;1610;1859;2132;2030;2258;2261;2086;2267;2109;2244;2437;52232"
"""354165 QUADRA"";-;-;-;-;-;-;-;-;-;-;17;17;15;22;10;15;23;13;10;35;19;21;40;27;6;11;3;30;334"
"""354220 RANCHARIA"";-;-;12;60;118;111;90;94;123;75;73;59;18;555;566;525;512;471;513;485;522;575;583;606;660;664;997;703;9770"
"""354240 REGENTE FEIJO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189;-;189"
"""354260 REGISTRO"";-;6356;4937;164646;207528;216173;191729;163205;178309;187929;185045;195660;201107;210562;180800;194528;186141;185868;184522;196107;193520;152054;150186;158658;160449;130485;122006;150152;4458662"
"""354280 RIBEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4"
"""354320 RIBEIRAO DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3"
"""354330 RIBEIRAO PIRES"";-;-;-;2233;3672;3464;3856;3990;4033;3999;3904;4247;4720;4081;3834;3944;4010;4393;4559;4397;4608;4711;4523;4484;4510;4619;4336;4278;103405"
"""354340 RIBEIRAO PRETO"";820;2961;5302;1961539;1941808;1991221;1919720;1866547;2113326;2223493;2000805;2244395;2313847;2194558;2041647;2341295;2386737;2279975;2272406;2311614;2343704;2423198;2458299;2485490;2520960;1954791;2070879;2160064;54831401"
"""354390 RIO CLARO"";-;1;1;3794;3525;3592;3731;2901;3914;3795;3318;2887;3272;2875;3406;3154;2581;3437;3283;2841;2619;3181;3196;3463;3609;2698;2927;4426;82427"
"""354410 RIO GRANDE DA SERRA"";-;-;-;9;48;18;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95"
"""354490 SALES OLIVEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;43;-;14;-;-;-;-;-;75"
"""354515 SALTINHO"";-;-;-;19;44;15;44;10;9;19;9;5;14;7;3;48;22;9;25;19;18;17;13;13;17;20;10;-;429"
"""354520 SALTO"";-;-;-;390;376;373;425;434;602;463;443;359;451;366;379;430;433;557;652;848;619;581;1206;1360;1477;1486;1465;1498;17673"
"""354540 SALTO GRANDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;1;-;7"
"""354560 SANTA ADELIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;8;-;-;-;-;-;-;-;-;-;-;-;12"
"""354580 SANTA BARBARA D'OESTE"";-;-;-;2420;2488;2465;2519;2853;2514;2643;2581;2610;2602;2415;2446;2066;2428;2658;2691;2792;2829;2812;2659;2767;2776;2437;2422;2412;64305"
"""354620 SANTA CRUZ DA CONCEICAO"";-;-;-;39;30;28;24;14;9;20;20;30;27;35;1;16;13;8;14;20;27;40;54;43;58;81;40;26;717"
"""354640 SANTA CRUZ DO RIO PARDO"";-;-;-;522;341;345;273;390;456;292;245;460;305;301;199;228;231;272;431;442;327;348;323;383;229;243;301;415;8302"
"""354660 SANTA FE DO SUL"";-;-;-;248;240;393;464;390;323;405;552;360;396;698;714;495;284;529;517;514;525;362;499;429;294;458;373;427;10889"
"""354670 SANTA GERTRUDES"";-;-;-;62;62;63;63;96;85;111;47;56;78;56;56;51;41;51;80;78;42;22;52;6;3;-;-;-;1261"
"""354680 SANTA ISABEL"";-;45;282;307;237;416;481;433;396;444;433;466;397;426;416;417;432;500;485;517;494;481;443;527;464;326;459;64;10788"
"""354710 SANTA MERCEDES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;-;-;7;-;4;5;1;6;-;-;31"
"""354730 SANTANA DE PARNAIBA"";-;-;-;2679;2848;2892;2610;2956;2224;3158;3406;3282;3082;3304;2808;2907;2763;2998;2828;3242;3268;3821;4487;4926;3541;3333;3700;3909;80972"
"""354760 SANTA ROSA DE VITERBO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;113"
"""354780 SANTO ANDRE"";9;382;1486;1255227;1254059;1251420;1234544;1191245;1244023;1325663;1247694;1277033;1379465;1333659;1232005;1330213;1271485;1176342;1131148;1105787;1091935;1078932;1100077;1104825;1118333;808853;850715;1063530;29460089"
"""354800 SANTO ANTONIO DE POSSE"";-;-;-;5;2;3;2;1;-;-;-;-;-;-;-;1;-;-;-;1;2;2;-;-;-;20;-;-;39"
"""354810 SANTO ANTONIO DO JARDIM"";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""354850 SANTOS"";1;93;1817;1693874;1676022;1700614;1743729;1622234;1732868;1847097;1836698;1812320;1941061;1947583;1922811;1933135;1954619;1882041;1953569;1953629;1980490;1998271;2009983;2003132;2081387;1896462;1737563;1767072;46630175"
"""354870 SAO BERNARDO DO CAMPO"";-;61;227;1003137;977724;981385;1039638;988503;954115;1034183;1041853;1068786;1140094;1122416;990364;1087608;1132269;1049044;1031392;1055610;1067762;1068434;1035309;1122657;1149769;1049467;1053679;1002163;26247649"
"""354880 SAO CAETANO DO SUL"";-;-;13;315404;312299;306370;319672;302093;302983;334622;322645;330522;349301;344228;330928;349389;351954;345115;342847;351707;359074;358254;345205;365083;366084;291220;306610;333527;8337149"
"""354890 SAO CARLOS"";1;11;31;4136;3957;4259;4375;4332;4108;4450;4420;4275;4422;4255;4540;4525;4214;4326;4410;4649;4643;4586;4443;4526;4753;4347;4523;4184;109701"
"""354910 SAO JOAO DA BOA VISTA"";-;1;181;1247478;1295164;1372097;1367684;1312516;1389204;1464151;1313959;1507431;1586672;1493424;1545559;1619278;1594375;1624905;1617349;1654115;1680911;1665193;1717647;1770336;1796151;1663876;1534575;1565383;38399615"
"""354940 SAO JOAQUIM DA BARRA"";-;-;-;1256;1202;1299;1228;1247;1190;1340;1420;1061;1439;1477;1550;1525;1316;1492;1489;1516;1477;1636;1604;1699;1616;1435;1454;1663;35631"
"""354970 SAO JOSE DO RIO PARDO"";-;-;-;1882;1898;1936;2080;2347;1906;2374;2210;2237;2352;2233;2247;2223;2144;2352;2277;2417;2170;2218;2322;2321;2477;2163;2334;2277;55397"
"""354980 SAO JOSE DO RIO PRETO"";469;116;457;2183229;2230663;2237798;2280757;2222176;2248940;2439018;2417723;2523494;2532563;2581815;2397102;2596978;2591965;2549097;2593980;2654466;2706337;2760819;2728205;2819373;2834521;2175547;2435595;2726344;62469547"
"""354990 SAO JOSE DOS CAMPOS"";-;-;73;1377298;1305939;1228904;1009751;1234033;1323747;1372972;1288979;1491902;1632260;1562388;1401822;1531251;1658015;1708653;1697129;1706224;1793093;1829447;1785221;1758711;1796373;1804720;1713822;1844279;38857006"
"""355010 SAO MANUEL"";-;-;-;60;54;59;63;61;60;49;57;63;102;417;161;321;330;339;212;165;155;241;201;155;2;-;-;-;3327"
"""355030 SAO PAULO"";30745;83913;240341;14942088;14472559;14832397;14934147;14885552;15368512;16097779;15398130;15155458;16946092;15939072;15409433;16178366;15764208;16156456;16796340;16888187;16705002;17477011;17329666;18023917;18225182;15051175;16576228;16680343;402588299"
"""355040 SAO PEDRO"";-;-;-;281;263;273;304;329;283;293;373;369;330;314;299;334;197;216;143;164;1;338;112;189;165;178;130;101;5979"
"""355050 SAO PEDRO DO TURVO"";-;-;-;5;16;15;7;19;8;33;59;22;17;18;8;36;45;4;21;30;24;33;29;14;37;24;-;5;529"
"""355060 SAO ROQUE"";-;-;-;2;-;-;-;1;1;132;230;580;204;230;312;351;224;379;434;360;367;450;553;474;507;615;490;512;7408"
"""355070 SAO SEBASTIAO"";-;-;-;206;211;191;190;220;147;198;212;-;205;236;166;165;234;169;21;400;392;336;305;287;379;300;291;346;5807"
"""355090 SAO SIMAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;68;33;7;12;131"
"""355100 SAO VICENTE"";-;-;-;1861;1876;1922;1966;2072;2061;1968;2021;2083;2180;2164;2161;2150;2084;2358;2314;2471;2427;2513;2305;2192;2188;2152;2446;2245;54180"
"""355150 SERRANA"";-;-;-;368;312;392;367;387;406;393;430;400;402;396;328;433;379;421;390;423;408;403;437;375;418;343;357;382;9750"
"""355160 SERRA NEGRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;315;439;484;229;262;673;548;679;507;718;678;655;543;584;7314"
"""355170 SERTAOZINHO"";-;-;-;2726;2659;2750;2708;3160;2956;3151;3341;3076;3267;3129;3220;3700;3363;3376;3254;3375;2982;3512;3281;2789;3741;3429;3781;3764;80490"
"""355190 SEVERINIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;17"
"""355210 SOCORRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;84;137;121;119;141;156;231;232;1361"
"""355220 SOROCABA"";-;5201;11021;2464254;2465418;2477891;2475669;2469549;2526567;2668330;2617090;2563694;2689496;2698579;2695332;2724823;2829397;2846571;2829154;2888438;2963782;2917860;2965712;3046032;3029830;2766493;2335239;1791960;66763382"
"""355240 SUMARE"";-;-;-;6281;6137;6452;6437;6349;6053;6516;6389;6128;6392;6006;6107;6076;5771;5961;5979;6268;5750;6227;6061;6125;6247;5826;6385;6053;153976"
"""355250 SUZANO"";-;-;33;6685;6181;6509;6663;6881;6101;6675;6552;6029;6165;6299;6528;6819;6512;6891;6956;7236;5660;6422;6356;6468;6518;5503;7325;6081;162048"
"""355270 TABATINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;34;30;34;-;-;-;-;112"
"""355280 TABOAO DA SERRA"";-;-;822;8418;7659;8172;8832;8931;8201;8675;8385;8082;8601;8227;8328;8412;7610;8140;7976;8738;8229;8409;8405;8382;8559;8122;8377;7557;208249"
"""355370 TAQUARITINGA"";-;-;-;403;365;386;482;383;439;416;430;440;333;490;524;325;286;370;318;378;398;398;356;373;429;373;313;369;9777"
"""355380 TAQUARITUBA"";-;-;-;-;32;145;111;61;35;27;28;22;15;15;13;110;216;229;230;227;189;101;164;186;180;158;92;79;2665"
"""355400 TATUI"";-;1;14;696;622;485;685;718;750;846;822;863;790;738;839;765;1011;1174;1002;1086;1167;1185;1453;1133;1090;866;695;768;22264"
"""355410 TAUBATE"";-;-;2;698675;710530;727420;717308;698512;753669;768340;760936;788421;814068;787204;787276;842984;849540;820914;862178;861518;895322;875780;917299;935828;940978;775189;700006;851727;20141624"
"""355450 TIETE"";-;-;-;-;-;74;90;143;121;103;93;92;117;138;159;156;159;202;197;223;241;318;321;362;-;-;-;615;3924"
"""355460 TIMBURI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;35;17;18;25;36;144"
"""355480 TREMEMBE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121;58;59;83;-;72;53;46;492"
"""355500 TUPA"";-;-;-;2425;2416;2567;2603;2611;2496;2733;2657;2534;2818;2635;2559;2697;2565;2425;2748;2772;2666;2851;2974;3057;3078;2921;2878;2864;67550"
"""355510 TUPI PAULISTA"";-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;85"
"""355535 UBARANA"";-;-;-;-;-;-;-;-;-;-;-;8;9;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;21"
"""355540 UBATUBA"";-;-;-;592;687;439;465;639;466;556;861;754;668;815;1552;1320;1043;926;1117;1458;1212;1151;1224;1329;1396;1311;1302;1624;24907"
"""355620 VALINHOS"";-;-;4;130;203;158;119;165;316;464;400;291;259;333;93;259;325;313;376;375;308;204;126;359;343;238;286;227;6674"
"""355640 VARGEM GRANDE DO SUL"";-;73;-;186;144;29;402;426;374;500;452;329;367;344;91;449;347;321;370;418;354;413;352;313;456;346;340;316;8512"
"""355650 VARZEA PAULISTA"";-;-;-;-;-;-;-;-;-;-;40;68;72;22;25;47;24;36;-;9;-;-;-;-;-;-;-;-;343"
"""355660 VERA CRUZ"";-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;1;-;-;34;86;2;-;126"
"""355670 VINHEDO"";-;-;-;776;669;688;896;638;754;686;603;1155;1065;825;718;807;1045;1107;1077;1117;930;485;1030;1000;959;960;859;1147;21996"
"""355700 VOTORANTIM"";-;-;-;59;32;46;49;154;89;120;141;222;168;270;149;99;95;-;474;650;592;454;392;373;443;409;359;342;6181"
"""355710 VOTUPORANGA"";-;11228;11225;1056679;1034894;1086219;1073772;1081575;1085088;1181134;1144069;1170601;1222842;1190202;1148271;1189946;1225457;1205890;1206507;1234569;1265072;1270797;1278481;1353383;1333509;1130930;1152450;1192646;29537436"
"""355720 CHAVANTES"";-;-;-;32;329;25;21;25;27;34;20;20;18;173;179;247;187;382;324;342;323;542;343;329;240;128;64;109;4463"
"""Total"";32316;119432;297856;49244477;48832555;49220124;49587503;48983344;50556124;53066048;51109392;52361722;55880633;54080316;52372487;55621557;55487485;55265220;56261727;56951296;57474474;58737383;58946217;60334313;60974615;51466548;53755373;54989066;1352009603"
&



















































































































































































































































































































































































